"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"46885","SN 2019sxl","11:29:16.891","+51:31:30.60","SN II","0.03286","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF19aceckmm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","18.18","g-ZTF","2019-10-09 12:10:35.000","ZTF_AMPEL_COMPLETE","","","2019TNSTR2130....1N","2019TNSCR2184....1D","",""
"46751","SN 2019ssl","23:20:17.273","+35:29:35.40","SN II","0.027","UGC 12528","0.026799","ALeRCE, ATLAS, ZTF, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE, ATLAS, Pan-STARRS, ZTF","ZTF19acewuwn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.2952","r-ZTF","2019-10-18 04:51:33.000","ALeRCE","","","2019TNSTR2104....1F","2019TNSCR2184....1D","",""
"46672","SN 2019spk","10:02:54.400","-06:12:25.99","SN II","0.01","","","ATLAS, GaiaAlerts, ZTF, Pan-STARRS","ATLAS, GaiaAlerts, ZTF, Pan-STARRS","ZTF, UCSC","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ATLAS19yhh","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","Lick-3m - KAST, P60 - SEDM","1","1","","17.779","orange-ATLAS","2019-10-16 15:02:52.000","ATLAS_Bot1","","","2019TNSTR2090....1T","2019TNSCR2230....1D, 2019TNSCR2877....1R","",""
"46604","SN 2019smv","11:02:16.670","+44:20:04.67","SN II","0.0246","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS, GaiaAlerts, ZTF","ZTF19aceckdq","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT","1","1","","18.42","g-ZTF","2019-10-09 12:09:56.000","ZTF_AMPEL_NEW","","","2019TNSTR2076....1N","2019TNSCR2184....1D","",""
"46601","SN 2019sms","10:58:05.506","+40:11:19.34","SN II","0.03021","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF19acbwccr","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.08","g-ZTF","2019-10-09 12:09:17.000","ZTF_AMPEL_NEW","","","2019TNSTR2076....1N","2020TNSCR.601....1D","",""
"46474","SN 2019shx","02:32:02.850","+46:05:50.50","SN II","0.035","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts, ZTF","ZTF19acchaza","Gaia - Gaia-photometric, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.91","r-ZTF","2019-10-03 08:51:21.000","ZTF_Bot1","","","2019TNSTR2057....1F","2019TNSCR2184....1D","",""
"46462","SN 2019shl","00:07:59.711","-25:09:00.28","SN II","0.034","2MASX J00075909-2509055","0.034184","ALeRCE, ATLAS, Pan-STARRS, ZTF","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE, ATLAS, Pan-STARRS, ZTF","ZTF19acdxkek","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P200 - DBSP","1","1","","19.0256","r-ZTF","2019-10-09 08:33:00.000","ALeRCE","","","2019TNSTR2042....1F","2019TNSCR2377....1D","",""
"46443","SN 2019sgs","16:43:55.424","+07:33:34.28","SN II","0.03","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS, ZTF","ZTF19acduloz","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.75","g-ZTF","2019-10-09 02:24:14.000","ZTF_AMPEL_NEW","","","2019TNSTR2048....1N","2019TNSCR2222....1D","",""
"46440","SN 2019sgp","16:28:48.446","+23:30:11.23","SN II","0.03877","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF19acctlps","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.43","r-ZTF","2019-10-05 02:52:09.000","ZTF_AMPEL_NEW","","","2019TNSTR2048....1N","2020TNSCR2149....1D","",""
"46095","SN 2019rtl","09:49:41.866","+15:24:20.08","SN II","0.026","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF19acaqqke","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","P200 - DBSP","1","1","","18.54","r-ZTF","2019-10-02 12:37:26.000","ZTF_Bot1","","","2019TNSTR1983....1F","2019TNSCR2050....1D","",""
