"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"6233","SN 2013do","00:51:34.841","+29:43:14.92","SN IIP","","UGC 12137       ","","","","","","","","","0","1","","17","","2013-06-16 00:00:00.000","","[Discoverer=Wang, Gao (Xingming Sky Survey); DiscoveryRef=CBET 3571; PositionRef=CBET 3571; Orig Type=IIP]","","","","",""
"6221","SN 2013dc","16:52:58.970","+02:24:25.49","SN IIP","","NGC 6240        ","","","","","","","","","0","1","","18.7","","2013-04-11 00:00:00.000","","[Discoverer=Block; DiscoveryRef=CBET 3551; PositionRef=CBET 3551; Orig Type=IIP]","","","","",""
"6220","SN 2013db","11:40:43.990","+22:25:54.91","SN IIP","","NGC 3808        ","","","","","","","","","0","1","","17.1","","2013-05-29 00:00:00.000","","[Discoverer=Gagliano, Newton, Puckett; DiscoveryRef=CBET 3550; PositionRef=CBET 3550; Orig Type=IIP]","","","","",""
"6209","SN 2013cr","16:11:46.469","+40:51:22.21","SN IIP","","Anon.           ","","","","","","","","","0","1","","17.5","","2013-05-14 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3532; PositionRef=CBET 3532; Orig Type=IIP]","","","","",""
"6205","SN 2013cn","17:58:50.340","+34:00:16.60","SN IIP","","Anon.           ","","","","","","","","","0","1","","19.5","","2013-05-10 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Real-time Transient Survey); DiscoveryRef=CBET 3526; PositionRef=CBET 3526; Orig Type=IIP]","","","","",""
"6197","SN 2013cf","11:34:36.490","+54:53:24.40","SN IIP","","Anon.           ","","","","","","","","","0","1","","18.1","","2013-04-29 00:00:00.000","","[Discoverer=Arbour; DiscoveryRef=CBET 3516; PositionRef=CBET 3516; Orig Type=IIP]","","","","",""
"6196","SN 2013ce","11:35:50.801","+34:17:02.69","SN IIP","","Anon.           ","","iPTF","iPTF","","iPTF","iPTF13ce","P48 - CFH12k","","0","1","","17.3","","2013-05-01 00:00:00.000","","[Discoverer=Balanutsa (MASTER-Kislovodsk); DiscoveryRef=CBET 3515; PositionRef=CBET 3515; Orig Type=IIP]","","2019TNSTR1778....1I","","",""
"6192","SN 2013ca","11:58:43.250","+19:08:56.18","SN IIP","","Anon.           ","","","","","","","","","0","1","","18.1","","2013-05-01 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3508; PositionRef=CBET 3508; Orig Type=IIP]","","","","",""
"6175","SN 2013bj","14:04:19.630","-07:03:06.91","SN IIP","","Anon.           ","","","","","","","","","0","1","","18","","2013-04-04 00:00:00.000","","[Discoverer=Leonini et al.; DiscoveryRef=CBET 3482; PositionRef=CBET 3482; Orig Type=IIP]","","","","",""
"6174","SN 2013bi","18:25:01.980","+27:31:53.69","SN IIP","","NGC 6632        ","","","","","","","","","0","1","","16.4","","2013-03-24 00:00:00.000","","[Discoverer=Jin, Gao (Xingming Sky Survey); DiscoveryRef=CBET 3481; PositionRef=CBET 3481; Orig Type=IIP]","","","","",""
"6158","SN 2013at","18:50:11.290","+30:20:59.50","SN IIP","","Anon.           ","","","","","","","PS1 - GPC1","","0","1","","16.9","","2013-03-19 00:00:00.000","","[Discoverer=Shurpakov (MASTER); DiscoveryRef=CBET 3448; PositionRef=CBET 3448; Orig Type=IIP]","","2021TNSTR.748....1S","","",""
"6155","SN 2013aq","14:24:42.571","-03:12:30.89","SN IIP","","NGC 5604        ","","","","","","","","","0","1","","16.7","","2013-03-13 00:00:00.000","","[Discoverer=Aldous; Parker; DiscoveryRef=CBET 3444; PositionRef=CBET 3444; Orig Type=IIP]","","","","",""
"6144","SN 2013af","09:13:55.171","+55:46:56.71","SN IIP","","Anon.           ","","","","","","","","","0","1","","18.9","","2013-03-01 00:00:00.000","","[Discoverer=Zhou, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3427; PositionRef=CBET 3427; Orig Type=II-P]","","","","",""
"6141","SN 2013ac","09:45:08.789","+58:40:07.28","SN IIP","","Anon.           ","","","","","","","","","0","1","","18.2","","2013-02-15 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3424; PositionRef=CBET 3424; Orig Type=IIP]","","","","",""
"6369","SN 2013Z","13:27:54.890","+30:22:29.39","SN IIP","","Anon.           ","","","","","","","","","0","1","","19","","2013-01-24 00:00:00.000","","[Discoverer=Zhang, Wang et al. (THU-NAOC Transient Survey); DiscoveryRef=CBET 3415; PositionRef=CBET 3415; Orig Type=IIP]","","","","",""
"6354","SN 2013K","17:39:31.541","-85:18:38.09","SN IIP","","Anon.           ","","","","","","","","","0","1","","17.7","","2013-01-20 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3391; PositionRef=CBET 3391; Orig Type=IIP]","","","","",""
"6103","SN 2012hw","09:41:38.021","+48:40:25.50","SN IIP","","MCG +08-18-23   ","","","","","","","","","0","1","","17.5","","2012-12-11 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Sky Survey); DiscoveryRef=CBET 3353; PositionRef=CBET 3353; Orig Type=IIP]","","","","",""
"6102","SN 2012hv","12:47:29.299","-43:19:44.29","SN IIP","","NGC 4681        ","","","","","","","","","0","1","","16.1","","2012-12-16 00:00:00.000","","[Discoverer=Antezana, Pignata et al. (CHASE); DiscoveryRef=CBET 3352; PositionRef=CBET 3352; Orig Type=IIP]","","","","",""
