oid,tp,slope_at_tp,L50,M_Ni,E_exp,nobs,tobs
ZTF24ablxiwv,72.8198495497927,-1.569735393118704e+40,2.0079578244204485e+42,0.2244316401272297,3.435402228048682e+50,21,73.78322919970378
ZTF24abihsvi,79.36027195001952,-7.663428518178704e+40,1.5031313555372424e+42,0.10228282850423023,2.7511535600178754e+50,8,79.82506940001622
ZTF24abibcib,97.78567709983326,-3.887194007244938e+39,1.353236203034972e+42,0.29105173598266815,2.534804080694995e+50,18,104.74518519965932
ZTF24abgvkwg,78.4205150497146,-3.6116469364187526e+40,1.3552598631035296e+42,0.10957999718280503,2.1072313424094855e+50,18,80.94070599973202
ZTF24abgoksi,84.39399305009283,2.4935683757430433e+40,1.3936192647508185e+41,0.007765412734417553,3.893076737745481e+48,29,113.99862259998918
ZTF24abeebbl,77.43255205010064,8.183121439287857e+41,5.637571631958818e+42,1.523651667920753,2.0983453698794713e+51,44,80.93314810004085
ZTF24abcbmug,72.94651620020159,-7.815316013227739e+41,-8.153761770092702e+42,0.15327402612622032,,40,103.78423610003665
ZTF24aayncet,116.91040505026467,-2.0526207567802444e+41,5.330245941938278e+42,0.44033136322749156,6.232693406593347e+51,19,117.92297450033948
ZTF24aazjdml,77.93288774997927,1.8441903376256144e+42,5.161025285707753e+43,0.12887748570857904,4.939641747505252e+53,44,78.92978010000661
ZTF24aaxyrrd,71.7980150997173,-7.511016464851326e+39,8.751312151031373e+41,0.14864878473191015,6.287805601171088e+49,30,91.94283569976687
ZTF24aavyicb,97.80300930002704,1.0979456268519519e+39,2.5073573831323043e+42,0.7329261374140463,7.3642091141862e+50,30,99.79241900006309
ZTF24aarxxmm,128.84306134982035,-8.489090465251494e+40,1.1054026637834385e+43,2.7550164818846294,2.1897014044126126e+52,48,197.67146999994293
ZTF24aaqpnyq,65.46073494991288,-1.4237566970687116e+41,6.663048653136652e+42,0.4030616542244457,3.068750421757223e+51,42,165.800937499851
ZTF24aapexhw,61.37954860017635,4.3325765714856434e+41,4.4767818730994056e+42,2.0627165876900686,7.227519732186382e+50,23,72.90618060017005
ZTF18abwisaz,62.885804400080815,-6.85547370055823e+39,1.3397083563945063e+42,0.14843976140991444,1.190028910324134e+50,20,88.8736920999363
ZTF24aaplfjd,77.89877310022712,-6.124344777102944e+39,4.007461220745892e+41,0.05321167013294694,1.857256597580904e+49,24,81.92113420041278
ZTF24aaooxcd,63.44354745000601,-9.221993195309259e+39,3.262044966557173e+42,0.5533496932804999,5.671901311812757e+50,15,69.92076390003785
ZTF24aakghyl,66.77678820001893,9.245830844399187e+40,5.370821329378882e+42,0.5782318189956953,1.8198301439729633e+51,34,85.81224530003965
ZTF24aaijsxa,66.98494215030223,-5.32428708721933e+40,7.778291073710013e+41,0.10614100008501354,4.63970374052318e+49,26,119.86342590022832
ZTF24aahwcei,60.007332149893045,6.781851137361301e+41,1.965995750771627e+42,0.6768468571100393,1.6080638359993551e+50,16,61.0057639000006
ZTF24aahestt,64.87140044989064,-8.147795457133811e+39,8.014082267872764e+41,0.08232721972401759,4.96740058269896e+49,10,70.83298610011116
ZTF24aahgkxm,71.41631369991228,-3.9305359404916624e+40,1.6369015605112086e+42,0.16724072607834312,2.309272146210966e+50,18,73.91856489982456
