"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"167248","SN 2024ackd","10:14:40.983","-09:56:25.72","SN II","0.031415","","","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF24abuhiar","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-S - GOTO-3, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.5652","g-ZTF","2024-11-22 11:18:37.995","Fritz","","","2024TNSTR4665....1W","2024TNSCR4766....1S","",""
"167141","SN 2024acga","01:04:01.230","-03:31:45.59","SN II","0.04","","","GOTO, ZTF, ALeRCE, ATLAS, Pan-STARRS, GaiaAlerts","GOTO, ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF","ALeRCE, ATLAS, GaiaAlerts, GOTO, Pan-STARRS, ZTF","GOTO24ipc","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.42","L-GOTO","2024-11-26 11:51:50.976","GOTO_bot","","","2024TNSTR4643....1O","2024TNSCR5039....1S","",""
"167140","SN 2024acfz","13:03:29.519","+86:44:16.47","SN II","0.028","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF24abugkym","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.4171","r-ZTF","2024-11-26 10:19:10.004","Fritz","","","2024TNSTR4654....1R","2024TNSCR4840....1S","",""
"166872","SN 2024abwq","13:48:08.180","+61:09:17.82","SN II","0.035","","","GaiaAlerts, ZTF, ATLAS, GOTO","GaiaAlerts, ZTF, ATLAS, GOTO","ZTF","ATLAS, GaiaAlerts, GOTO, ZTF","Gaia24diw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.41","G-Gaia","2024-11-16 20:51:21.600","Gaia_Bot1","","","2024TNSTR4600....1H","2024TNSCR4789....1S","",""
"166716","SN 2024abqr","13:50:19.191","+07:47:45.07","SN II","0.02410027","","","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF24abtjjsg","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","18.9612","r-ZTF","2024-11-17 13:15:15.998","Fritz","","","2024TNSTR4570....1S","2025TNSCR.730....1W","",""
"166653","SN 2024aboh","12:33:49.516","+59:00:08.34","SN II","0.043865","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF24abtdiyv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.5612","g-ZTF","2024-11-20 11:15:56.998","Fritz","","","2024TNSTR4558....1S","2025TNSCR..39....1S","",""
"166631","SN 2024abnl","02:43:15.534","-08:48:41.66","SN II","0.03","","","ZTF, BlackGEM, ATLAS, GOTO","ZTF, BlackGEM, ATLAS, GOTO","ZTF","ATLAS, BlackGEM, GOTO, ZTF","ZTF24abtblmg","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, BG4 - BlackGEM-Cam4, GOTO-S - GOTO-4, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.8886","r-ZTF","2024-11-08 09:38:33.999","Fritz","","","2024TNSTR4558....1S","2025TNSCR..84....1S","",""
"166607","SN 2024abmp","12:41:25.910","-08:28:19.13","SN II","0.025","","","ZTF, ATLAS, GOTO, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GOTO, GaiaAlerts, Pan-STARRS","ZTF","ATLAS, GaiaAlerts, GOTO, Pan-STARRS, ZTF","ZTF24abszcqd","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.5839","r-ZTF","2024-11-18 12:59:25.995","Fritz","","","2024TNSTR4546....1S","2024TNSCR4777....1S","",""
"166574","SN 2024ablj","13:31:05.910","+11:10:58.48","SN II","0.03","","","ZTF, ATLAS, GaiaAlerts, BlackGEM, GOTO, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, BlackGEM, GOTO, Pan-STARRS","ZTF","ATLAS, BlackGEM, GaiaAlerts, GOTO, Pan-STARRS, ZTF","ZTF24absshbg","ATLAS-MLO - ATLAS-01, BG2 - BlackGEM-Cam2, BG4 - BlackGEM-Cam4, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.1485","r-ZTF","2024-11-14 12:57:40.000","Fritz","","","2024TNSTR4533....1W","2025TNSCR1777....1S","",""
"166572","SN 2024ablh","12:51:31.432","-13:20:02.71","SN II","0.004376","NGC 4722","","ALeRCE, ATLAS, GOTO, Pan-STARRS, BlackGEM","ZTF, ATLAS, GOTO, Pan-STARRS, BlackGEM","ZTF, CET-3PO","ALeRCE, ATLAS, BlackGEM, GOTO, Pan-STARRS","ZTF24abszdqt","ATLAS-HKO - ATLAS-02, BG3 - BlackGEM-Cam3, BG4 - BlackGEM-Cam4, GOTO-N - GOTO-2, GOTO-S - GOTO-3, P48 - ZTF-Cam, PS2 - GPC2","CA-2.2m - CAFOS, P60 - SEDM","1","1","","17.1706","r-ZTF","2024-11-18 13:06:23.999","ALeRCE","","","2024TNSTR4525....1M","2024TNSCR4612....1S, 2025TNSCR.921....1W","",""
"166400","SN 2024abeu","10:51:21.644","+24:53:43.31","SN II","0.044491","","","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS","ZTF","ATLAS, GOTO, Pan-STARRS, ZTF","ZTF24absdoug","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.2903","g-ZTF","2024-11-11 12:08:18.000","Fritz","","","2024TNSTR4497....1S","2024TNSCR4704....1S","",""
"166264","SN 2024aazo","04:39:02.791","+01:02:34.63","SN II","0.035","","","ZTF, ATLAS, GOTO","ZTF, ATLAS, GOTO","ZTF","ATLAS, GOTO, ZTF","ZTF24absbvbs","ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, GOTO-S - GOTO-4, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.5178","g-ZTF","2024-11-11 09:05:24.000","Fritz","","","2024TNSTR4483....1S","2024TNSCR4802....1S","",""
"166179","SN 2024aawh","13:29:27.900","+11:00:22.64","SN II","0.022799","NGC 5162","0.022799","XOSS, ZTF, ATLAS, GOTO, GaiaAlerts, BlackGEM, Pan-STARRS","XOSS, ZTF, ATLAS, GOTO, GaiaAlerts, BlackGEM, Pan-STARRS","ZTF","ATLAS, BlackGEM, GaiaAlerts, GOTO, Pan-STARRS, XOSS, ZTF","PSP24aa","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03, BG2 - BlackGEM-Cam2, BG4 - BlackGEM-Cam4, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-N - GOTO-2, Other - Other, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.11","Clear-","2024-11-10 23:34:52.320","Mi Zhang","","","2024TNSTR4438....1X","2024TNSCR4561....1S","",""
